TITLE="privet"
VARIABLES="x", "y", "z"
ZONE T="zone", I=100, J=100, F=POINT
-3.01593 -5.78053 9.35006e-011
-2.89026 -5.78053 1.35513e-010
-2.7646 -5.78053 1.93325e-010
-2.63894 -5.78053 2.71479e-010
-2.51327 -5.78053 3.75256e-010
-2.38761 -5.78053 5.10576e-010
-2.26195 -5.78053 6.8381e-010
-2.13628 -5.78053 9.01472e-010
-2.01062 -5.78053 1.1698e-009
-1.88495 -5.78053 1.49421e-009
-1.75929 -5.78053 1.87868e-009
-1.63363 -5.78053 2.32508e-009
-1.50796 -5.78053 2.83246e-009
-1.3823 -5.78053 3.39651e-009
-1.25664 -5.78053 4.00906e-009
-1.13097 -5.78053 4.65795e-009
-1.00531 -5.78053 5.32707e-009
-0.879644 -5.78053 5.99686e-009
-0.75398 -5.78053 6.6451e-009
-0.628317 -5.78053 7.24805e-009
-0.502653 -5.78053 7.78184e-009
-0.376989 -5.78053 8.22405e-009
-0.251325 -5.78053 8.55521e-009
-0.125662 -5.78053 8.76028e-009
1.93715e-006 -5.78053 8.82972e-009
0.125666 -5.78053 8.76027e-009
0.251329 -5.78053 8.5552e-009
0.376993 -5.78053 8.22404e-009
0.502657 -5.78053 7.78183e-009
0.62832 -5.78053 7.24803e-009
0.753984 -5.78053 6.64508e-009
0.879648 -5.78053 5.99684e-009
1.00531 -5.78053 5.32705e-009
1.13098 -5.78053 4.65793e-009
1.25664 -5.78053 4.00904e-009
1.3823 -5.78053 3.39649e-009
1.50797 -5.78053 2.83245e-009
1.63363 -5.78053 2.32507e-009
1.75929 -5.78053 1.87867e-009
1.88496 -5.78053 1.4942e-009
2.01062 -5.78053 1.16979e-009
2.13629 -5.78053 9.01465e-010
2.26195 -5.78053 6.83804e-010
2.38761 -5.78053 5.10572e-010
2.51328 -5.78053 3.75252e-010
2.63894 -5.78053 2.71476e-010
2.7646 -5.78053 1.93323e-010
2.89027 -5.78053 1.35511e-010
3.01593 -5.78053 9.34995e-011
3.1416 -5.78053 6.35018e-011
3.26726 -5.78053 4.24526e-011
3.39292 -5.78053 2.7936e-011
3.51859 -5.78053 1.80953e-011
3.64425 -5.78053 1.15374e-011
3.76991 -5.78053 7.24095e-012
3.89558 -5.78053 4.47325e-012
4.02124 -5.78053 2.72015e-012
4.14691 -5.78053 1.62818e-012
4.27257 -5.78053 9.59306e-013
4.39823 -5.78053 5.56355e-013
4.5239 -5.78053 3.17606e-013
4.64956 -5.78053 1.78471e-013
4.77522 -5.78053 9.87163e-014
4.90089 -5.78053 5.37467e-014
5.02655 -5.78053 2.88042e-014
5.15222 -5.78053 1.51951e-014
5.27788 -5.78053 7.89026e-015
5.40354 -5.78053 4.03294e-015
5.52921 -5.78053 2.02906e-015
5.65487 -5.78053 1.00487e-015
5.78053 -5.78053 4.8985e-016
